scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass
ASH02,2,2,0,0,ACME Solar Holdings,ACME Solar,309.20,3.90,1.28,11.7,power-generationdistribution/acmesolarholdings/ASH02,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 309.2, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 341, 'percentages': 10.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 345.5, 'percentages': 11.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 350, 'percentages': 13.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 13.19, 'minRangePer': 77.93, 'maxRanegPer': 88.93, 'rangeDiffPer': 11, 'mindiff_total': 10.28, 'maxdiff_total': 11.73}",#52B974
AAC,2,0,2,0,Alkyl Amines Chemicals,Alkyl Amines,1535.80,60.20,4.08,9.7,chemicals/alkylamineschemicals/AAC,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1535.8, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1640, 'percentages': 6.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1685, 'percentages': 9.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1730, 'percentages': 12.6, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 12.64, 'minRangePer': 53.63, 'maxRanegPer': 76.81, 'rangeDiffPer': 23.18, 'mindiff_total': 6.78, 'maxdiff_total': 9.71}",#52B974
MMF,2,2,0,0,MM Forgings,MM Forgings,500.00,1.10,0.22,32.0,castingsforgings/mmforgings/MMF,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 500, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 600, 'percentages': 19.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 660, 'percentages': 32, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 720, 'percentages': 43.9, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 43.99, 'minRangePer': 45.44, 'maxRanegPer': 72.74, 'rangeDiffPer': 27.29, 'mindiff_total': 19.99, 'maxdiff_total': 32}",#52B974
JCL02,2,1,1,0,JSW Cement,JSW Cement,125.23,1.69,1.37,12.5,cement/jswcement/JCL02,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 125.23, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 140, 'percentages': 11.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 141, 'percentages': 12.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 142, 'percentages': 13.3, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 13.39, 'minRangePer': 88.05, 'maxRanegPer': 94.02, 'rangeDiffPer': 5.96, 'mindiff_total': 11.79, 'maxdiff_total': 12.59}",#52B974
NCC01,2,1,1,0,NCC,NCC,164.48,2.49,1.54,19.4,constructioncontracting-civil/ncc/NCC01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 164.48, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 193, 'percentages': 17.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 196.5, 'percentages': 19.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 200, 'percentages': 21.5, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 21.59, 'minRangePer': 80.26, 'maxRanegPer': 90.13, 'rangeDiffPer': 9.86, 'mindiff_total': 17.33, 'maxdiff_total': 19.46}",#52B974
VT9,2,2,0,0,Voltamp Transformers,Voltamp Trans,11204.00,435.50,4.04,-9.3,power-transmissionequipment/voltamptransformers/VT9,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 10000, 'percentages': -10.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 10156, 'percentages': -9.3, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 10312, 'percentages': -7.9, 'color': 'green'}, {'id': 'cmp', 'name': 'Current Price', 'value': 11204, 'percentages': '', 'color': 'white'}]","{'background': 'grey', 'position': 'right', 'color': 'red', 'colorFillPercentages': 75, 'greyLeftPercentage': 25, 'greyRightPercentage': 0}","{'totalPercentages': 12.04, 'minRangePer': 12.95, 'maxRanegPer': 25.83, 'rangeDiffPer': 12.88, 'mindiff_total': 1.56, 'maxdiff_total': 3.11}",#E3515C
SII01,2,2,0,0,Safari Industries (India),Safari Ind,1472.10,2.10,0.14,75.5,householdpersonal-products/safariindustriesindia/SII01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1472.1, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 2570, 'percentages': 74.5, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2585, 'percentages': 75.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2600, 'percentages': 76.6, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 76.61, 'minRangePer': 97.35, 'maxRanegPer': 98.66, 'rangeDiffPer': 1.31, 'mindiff_total': 74.58, 'maxdiff_total': 75.59}",#52B974
AT23,2,2,0,0,Avalon Technologies,Avalon Tech,1083.35,42.70,4.10,15.6,electronics-components/avalontechnologies/AT27,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1083.35, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1175, 'percentages': 8.4, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1252.5, 'percentages': 15.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1330, 'percentages': 22.7, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 22.76, 'minRangePer': 37.12, 'maxRanegPer': 68.58, 'rangeDiffPer': 31.46, 'mindiff_total': 8.45, 'maxdiff_total': 15.61}",#52B974
TIIND54076,2,2,0,0,Tube Investments of India Ltd,Tube Investment,2994.40,25.70,0.87,24.9,auto-ancillaries/tubeinvestmentsindialtd/TIIND54076,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 2994.4, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 3315, 'percentages': 10.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3742, 'percentages': 24.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 4169, 'percentages': 39.2, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 39.22, 'minRangePer': 27.28, 'maxRanegPer': 63.64, 'rangeDiffPer': 36.36, 'mindiff_total': 10.7, 'maxdiff_total': 24.96}",#52B974
TS15,2,2,0,0,TeamLease Services,TeamLease Ser.,1250.00,41.40,3.43,56.0,miscellaneous/teamleaseservices/TS13,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1250, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1850, 'percentages': 48, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1950, 'percentages': 56, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2050, 'percentages': 63.9, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 63.99, 'minRangePer': 75.01, 'maxRanegPer': 87.51, 'rangeDiffPer': 12.5, 'mindiff_total': 48, 'maxdiff_total': 56}",#52B974
