id,organization,entry_date,heading,attachment,creation_date,recommend_date,target_price_date,target_price_date_epoch,target_price,recommended_price,scid,stkname,stockShortName,cmp,change,perChange,current_returns,potential_returns_per,exchange,recommended_price_falg,target_price_flag,stock_data,stk_url,recommend_flag
13792366,Motilal Oswal,2026-01-27,Buy Siemens Energy India; target of Rs 3400: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127093754_Siemens-Energy-India_27012026_Motilal-Oswal.pdf,20260127150936,"January 23, 2026",2026-01-23,20260123,3400,2123.15,SEI11,Siemens Energy India,Siemens Energy ,3138.40,118.80,3.93,47.8,8.3,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '3400', 'target_price_date': '23/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",electric-equipment/siemensenergyindia/SEI11,BUY
13792367,Motilal Oswal,2026-01-27,Buy Shriram Finance; target of Rs 1200: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127093730_Shriram-Finance_27012026_Motilal-Oswal.pdf,20260127150853,"January 24, 2026",2026-01-24,20260124,1200,1003.45,STF,Shriram Finance,Shriram Finance,1045.15,8.20,0.79,4.1,14.8,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1200', 'target_price_date': '24/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",finance-leasinghire-purchase/shriramfinance/STF,BUY
13792361,Motilal Oswal,2026-01-27,Buy Kotak Mahindra Bank; target of Rs 500: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127093603_Kotak-Mahindra-Bank_27012026_Motilal-Oswal.pdf,20260127150843,"January 27, 2026",2026-01-27,20260127,500,408.95,KMF,Kotak Mahindra Bank,Kotak Mahindra,379.20,-4.40,-1.15,-7.2,31.8,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '500', 'target_price_date': '27/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",banks-private-sector/kotakmahindrabank/KMB,BUY
13792218,Motilal Oswal,2026-01-27,Buy JSW Steel; target of Rs 1350: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127090438_JSW-Steel_27012026_Motilal-Oswal.pdf,20260127143542,"January 25, 2026",2026-01-25,20260125,1350,1169.35,JVS,JSW Steel,JSW Steel,1274.50,34.20,2.76,8.9,5.9,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1350', 'target_price_date': '25/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",steel-large/jswsteel/JSW01,BUY
13792217,Motilal Oswal,2026-01-27,Buy JSW Energy; target of Rs 590: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127090416_JSW-Energy_27012026_Motilal-Oswal.pdf,20260127143519,"January 24, 2026",2026-01-24,20260124,590,478.55,JE02,JSW Energy,JSW Energy,543.05,5.00,0.93,13.4,8.6,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '590', 'target_price_date': '24/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",power-generationdistribution/jswenergy/JE01,BUY
13792215,Motilal Oswal,2026-01-27,Buy Home First Finance; target of Rs 1370: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127090351_Home-First-Finance_27012026_Motilal-Oswal.pdf,20260127143515,"January 24, 2026",2026-01-24,20260124,1370,1112.4,HFF,Home First Finance Company India,Home First,1122.00,-5.65,-0.50,0.8,22.1,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1370', 'target_price_date': '24/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",finance-housing/homefirstfinancecompanyindia/HFF,BUY
13792214,Motilal Oswal,2026-01-27,Buy Granules India; target of Rs 670: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127090326_Granules-India_27012026_Motilal-Oswal.pdf,20260127143511,"January 24, 2026",2026-01-24,20260124,670,564.95,GI22,Granules India,Granules India,664.45,8.75,1.33,17.6,0.8,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '670', 'target_price_date': '24/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",pharmaceuticals/granulesindia/GI25,BUY
13792212,Motilal Oswal,2026-01-27,Buy Godrej Consumer; target of Rs 1450: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127090302_Godrej-Consumer_27012026_Motilal-Oswal.pdf,20260127143508,"January 24, 2026",2026-01-24,20260124,1450,1240.25,GCP,Godrej Consumer Products,Godrej Consumer,1104.80,-4.60,-0.41,-10.9,31.2,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1450', 'target_price_date': '24/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",personal-care/godrejconsumerproducts/GCP,BUY
13792216,Motilal Oswal,2026-01-27,Buy DLF; target of Rs 974: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127090241_DLF_27012026_Motilal-Oswal.pdf,20260127143505,"January 23, 2026",2026-01-23,20260123,974,588.6,D04,DLF,DLF,596.40,-5.35,-0.89,1.3,63.3,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '974', 'target_price_date': '23/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",constructioncontracting-real-estate/dlf/D04,BUY
13792211,Motilal Oswal,2026-01-27,Buy DCB Bank; target of Rs 220: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127090215_DCB-Bank_27012026_Motilal-Oswal.pdf,20260127143501,"January 23, 2026",2026-01-23,20260123,220,182.6,DCB01,DCB Bank,DCB Bank,193.48,3.65,1.92,5.9,13.7,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '220', 'target_price_date': '23/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",banks-private-sector/dcbbank/DCB01,BUY
13792213,Motilal Oswal,2026-01-27,Buy Coforge; target of Rs 2500: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127090155_Coforge_27012026_Motilal-Oswal.pdf,20260127143458,"January 23, 2026",2026-01-23,20260123,2500,1636.0,NII02,COFORGE,COFORGE,1288.10,-28.70,-2.18,-21.2,94.0,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '2500', 'target_price_date': '23/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",computers-software/coforge/NII02,BUY
13792210,Motilal Oswal,2026-01-27,Buy CAMS; target of Rs 850: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127090134_CAMS_27012026_Motilal-Oswal.pdf,20260127143455,"January 23, 2026",2026-01-23,20260123,850,,"['CS21', 'CS21']",,,,,,,,,,,,,BUY
