scid,broker_count,buy_count,hold_count,sell_count,brokers,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass
LC03,9,7,2,0,"[{'name': 'ICICI Securities', 'target_price': 2200}, {'name': 'Motilal Oswal', 'target_price': 2360}, {'name': 'Prabhudas Lilladher', 'target_price': 2400}, {'name': 'Deven Choksey', 'target_price': 2404}, {'name': 'Choice Equity Broking', 'target_price': 2375}, {'name': 'Mirae Asset Sharekhan', 'target_price': 2400}, {'name': 'Emkay Global Financial Services', 'target_price': 2500}, {'name': 'KRChoksey', 'target_price': 2472}, {'name': 'Sharekhan', 'target_price': 2400}]",Lupin,Lupin,2326.10,-0.90,-0.04,2.7,pharmaceuticals/lupin/L,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 2200, 'percentages': -5.4, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 2326.1, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2390.11, 'percentages': 2.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2500, 'percentages': 7.4, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 13.63, 'minRangePer': 42.03, 'maxRanegPer': 63.38, 'rangeDiffPer': 21.35, 'mindiff_total': 5.73, 'maxdiff_total': 8.64}",#52B974
HL,9,9,0,0,"[{'name': 'Motilal Oswal', 'target_price': 2800}, {'name': 'Prabhudas Lilladher', 'target_price': 2609}, {'name': 'Anand Rathi', 'target_price': 2910}, {'name': 'Deven Choksey', 'target_price': 2870}, {'name': 'Sharekhan', 'target_price': 2832}, {'name': 'AnandRathi', 'target_price': 2840}, {'name': 'KRChoksey', 'target_price': 2610}, {'name': 'Emkay Global Financial Services', 'target_price': 2675}, {'name': 'Geojit Financial Services', 'target_price': 2820}]",Hindustan Unilever,HUL,2240.80,101.70,4.75,23.7,personal-care/hindustanunilever/HU,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 2240.8, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 2609, 'percentages': 16.4, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2774, 'percentages': 23.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2910, 'percentages': 29.8, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 29.86, 'minRangePer': 55.02, 'maxRanegPer': 79.67, 'rangeDiffPer': 24.65, 'mindiff_total': 16.43, 'maxdiff_total': 23.79}",#52B974
ICI02,9,9,0,0,"[{'name': 'Motilal Oswal', 'target_price': 1750}, {'name': 'Deven Choksey', 'target_price': 1559}, {'name': 'Prabhudas Lilladher', 'target_price': 1800}, {'name': 'Anand Rathi', 'target_price': 1713}, {'name': 'Geojit Financial Services', 'target_price': 1568}, {'name': 'Emkay Global Financial Services', 'target_price': 1700}, {'name': 'Sharekhan', 'target_price': 1650}, {'name': 'LKP Securities Limited', 'target_price': 1638}, {'name': 'KRChoksey', 'target_price': 1500}]",ICICI Bank,ICICI Bank,1346.80,1.30,0.10,22.7,banks-private-sector/icicibank/ICI02,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1346.8, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1500, 'percentages': 11.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1653.11, 'percentages': 22.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1800, 'percentages': 33.6, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 33.65, 'minRangePer': 33.78, 'maxRanegPer': 67.57, 'rangeDiffPer': 33.78, 'mindiff_total': 11.37, 'maxdiff_total': 22.74}",#52B974
SBI,9,9,0,0,"[{'name': 'Motilal Oswal', 'target_price': 1300}, {'name': 'Prabhudas Lilladher', 'target_price': 1200}, {'name': 'ICICI Securities', 'target_price': 1150}, {'name': 'Emkay Global Financial Services', 'target_price': 1100}, {'name': 'Deven Choksey', 'target_price': 1108}, {'name': 'LKP Securities Limited', 'target_price': 908}, {'name': 'Sharekhan', 'target_price': 980}, {'name': 'KRChoksey', 'target_price': 915}, {'name': 'AnandRathi', 'target_price': 930}]",State Bank of India,SBI,1080.25,13.10,1.23,-1.3,banks-public-sector/statebankindia/SBI,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 908, 'percentages': -15.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1065.67, 'percentages': -1.3, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1080.25, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 1300, 'percentages': 20.3, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 43.17, 'minRangePer': 40.21, 'maxRanegPer': 43.94, 'rangeDiffPer': 3.72, 'mindiff_total': 17.36, 'maxdiff_total': 18.97}",#E3515C
BA06,9,5,4,0,"[{'name': 'Motilal Oswal', 'target_price': 9416}, {'name': 'Emkay Global Financial Services', 'target_price': 11100}, {'name': 'Deven Choksey', 'target_price': 9770}, {'name': 'Prabhudas Lilladher', 'target_price': 9050}, {'name': 'ICICI Securities', 'target_price': 11250}, {'name': 'LKP Securities Limited', 'target_price': 8561}, {'name': 'KRChoksey', 'target_price': 9900}, {'name': 'AnandRathi', 'target_price': 10000}, {'name': 'Sharekhan', 'target_price': 12584}]",Bajaj Auto,Bajaj Auto,9773.50,-51.50,-0.52,4.1,auto-23-wheelers/bajajauto/BA10,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 8561, 'percentages': -12.4, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 9773.5, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 10181.22, 'percentages': 4.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 12584, 'percentages': 28.7, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 46.99, 'minRangePer': 30.13, 'maxRanegPer': 40.26, 'rangeDiffPer': 10.12, 'mindiff_total': 14.16, 'maxdiff_total': 18.92}",#52B974
IIB,9,2,5,2,"[{'name': 'Emkay Global Financial Services', 'target_price': 1100}, {'name': 'Motilal Oswal', 'target_price': 930}, {'name': 'Prabhudas Lilladher', 'target_price': 840}, {'name': 'Deven Choksey', 'target_price': 818}, {'name': 'LKP Securities Limited', 'target_price': 737}, {'name': 'ICICI Securities', 'target_price': 650}, {'name': 'Sharekhan', 'target_price': 750}, {'name': 'KRChoksey', 'target_price': 687}, {'name': 'Emkay Commodity Research', 'target_price': 1650}]",IndusInd Bank,IndusInd Bank,853.90,6.00,0.71,6.2,banks-private-sector/indusindbank/IIB,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 650, 'percentages': -23.8, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 853.9, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 906.89, 'percentages': 6.2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1650, 'percentages': 93.2, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 153.84, 'minRangePer': 20.38, 'maxRanegPer': 25.68, 'rangeDiffPer': 5.3, 'mindiff_total': 31.36, 'maxdiff_total': 39.52}",#52B974
KMF,9,8,0,1,"[{'name': 'Motilal Oswal', 'target_price': 500}, {'name': 'Prabhudas Lilladher', 'target_price': 500}, {'name': 'ICICI Securities', 'target_price': 2650}, {'name': 'Deven Choksey', 'target_price': 2362}, {'name': 'Sharekhan', 'target_price': 2500}, {'name': 'Emkay Global Financial Services', 'target_price': 1950}, {'name': 'LKP Securities Limited', 'target_price': 2490}, {'name': 'KRChoksey', 'target_price': 2164}, {'name': 'AnandRathi', 'target_price': 2010}]",Kotak Mahindra Bank,Kotak Mahindra,383.60,4.45,1.17,396.0,banks-private-sector/kotakmahindrabank/KMB,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 383.6, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 500, 'percentages': 30.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1902.89, 'percentages': 396, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2650, 'percentages': 590.8, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 590.82, 'minRangePer': 5.13, 'maxRanegPer': 67.03, 'rangeDiffPer': 61.9, 'mindiff_total': 30.34, 'maxdiff_total': 396.06}",#52B974
W,8,1,4,3,"[{'name': 'Motilal Oswal', 'target_price': 215}, {'name': 'Prabhudas Lilladher', 'target_price': 200}, {'name': 'ICICI Securities', 'target_price': 200}, {'name': 'Emkay Global Financial Services', 'target_price': 210}, {'name': 'Deven Choksey', 'target_price': 272}, {'name': 'Sharekhan', 'target_price': 260}, {'name': 'Choice Equity Broking', 'target_price': 252}, {'name': 'KRChoksey', 'target_price': 289}]",Wipro,Wipro,204.32,-5.94,-2.83,16.1,computers-software/wipro/W,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 200, 'percentages': -2.1, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 204.32, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 237.25, 'percentages': 16.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 289, 'percentages': 41.4, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 44.5, 'minRangePer': 4.85, 'maxRanegPer': 41.84, 'rangeDiffPer': 36.99, 'mindiff_total': 2.16, 'maxdiff_total': 18.62}",#52B974
TM4,8,6,1,1,"[{'name': 'ICICI Securities', 'target_price': 1600}, {'name': 'Motilal Oswal', 'target_price': 2350}, {'name': 'Prabhudas Lilladher', 'target_price': 1860}, {'name': 'Deven Choksey', 'target_price': 1805}, {'name': 'Anand Rathi', 'target_price': 1964}, {'name': 'Sharekhan', 'target_price': 1950}, {'name': 'Emkay Global Financial Services', 'target_price': 1600}, {'name': 'KRChoksey', 'target_price': 1801}]",Tech Mahindra,Tech Mahindra,1511.40,20.40,1.37,23.4,computers-software/techmahindra/TM4,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1511.4, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1600, 'percentages': 5.8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1866.25, 'percentages': 23.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2350, 'percentages': 55.4, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 55.48, 'minRangePer': 10.56, 'maxRanegPer': 42.3, 'rangeDiffPer': 31.73, 'mindiff_total': 5.86, 'maxdiff_total': 23.47}",#52B974
PS15,8,5,1,2,"[{'name': 'ICICI Securities', 'target_price': 6440}, {'name': 'Motilal Oswal', 'target_price': 8500}, {'name': 'Prabhudas Lilladher', 'target_price': 7360}, {'name': 'Anand Rathi', 'target_price': 7587}, {'name': 'Deven Choksey', 'target_price': 5790}, {'name': 'Sharekhan', 'target_price': 6600}, {'name': 'Emkay Global Financial Services', 'target_price': 5000}, {'name': 'KRChoksey', 'target_price': 5989}]",Persistent Systems,Persistent,5446.50,-54.00,-0.98,22.2,computers-software/persistentsystems/PS15,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 5000, 'percentages': -8.1, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 5446.5, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 6658.25, 'percentages': 22.2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 8500, 'percentages': 56, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 70, 'minRangePer': 12.74, 'maxRanegPer': 47.37, 'rangeDiffPer': 34.62, 'mindiff_total': 8.92, 'maxdiff_total': 33.16}",#52B974
