Date,Trend,Signal,Comment,IndicatorSummary,ScannerName,ScannerCode,Category,MC_StkName,MC_Code_Used,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,Ind1_Name,Ind1_Value,Ind2_Name,Ind2_Value,Ind3_Name,Ind3_Value,IndicatorFile,MatchType,ConfidenceScore,LTP_Close_Pct
08-Jun-2026,Bearish,Bearish Trend,Seven Bar Pattern,change %: -2.34 | Close Price value: 82.50 | change absolute: -1.98,NR 7 Breakdown,OHLC_D_I_NR7BEARBO,Range Breakout,Regaal Resource,RRL03,82.5,REGAAL,BE,84.48,85.5,85.5,81.81,82.48,82.94,45218,37.5,328, -, -,change %,-2.34,Close Price value,82.50,change absolute,-1.98,range_breakout_bearish.csv,MC_Mapping,100,0.0%
08-Jun-2026,Bearish,Bearish Trend,Four Bar Pattern,change %: -2.34 | Close Price value: 82.50 | change absolute: -1.98,NR 4 Breakdown,OHLC_D_I_NR4BEARBO,Range Breakout,Regaal Resource,RRL03,82.5,REGAAL,BE,84.48,85.5,85.5,81.81,82.48,82.94,45218,37.5,328, -, -,change %,-2.34,Close Price value,82.50,change absolute,-1.98,range_breakout_bearish.csv,MC_Mapping,100,0.0%
08-Jun-2026,Bearish,Bearish Trend,"Trend: Very Bearish | Since: 07 May, 2026 | From: ₹44.74",,,,,Regency Ceramic,RC04,39.74,REGENCERAM,EQ,39.74,39.99,40.0,39.74,39.74,39.98,639,0.26,14, 628, 98.28,,,,,,,bearish.csv,MC_Mapping,100,0.0%
08-Jun-2026,Bearish,ADX Bearish Trending Stock (Weekly),"ADX falling — trend weakening, Bearish momentum",ADX Indicator value: 28.93 | change %: -3.12,ADX Bearish Trending Stock (Weekly),OHLC_W_I_STRONGADXBEAR,Indicator Scans,Relaxo Footwear,RF07,319.75,RELAXO,EQ,330.05,326.75,329.4,315.2,319.15,324.11,110156,357.03,7716, 50865, 46.18,ADX Indicator value,28.93,change %,-3.12,,,adx.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,DMI Bearish Crossover (Weekly),"ADX falling — trend weakening, Bearish momentum",ADX Indicator value: 28.93 | change %: -3.12,DMI Bearish Crossover (Weekly),OHLC_W_I_ADXBEARDMI,Indicator Scans,Relaxo Footwear,RF07,319.75,RELAXO,EQ,330.05,326.75,329.4,315.2,319.15,324.11,110156,357.03,7716, 50865, 46.18,ADX Indicator value,28.93,change %,-3.12,,,adx.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,ADX Bearish Trending Stock (Monthly),"ADX falling — trend weakening, Bearish momentum",ADX Indicator value: 35.77 | change %: -3.12,ADX Bearish Trending Stock (Monthly),OHLC_M_I_STRONGADXBEAR,Indicator Scans,Relaxo Footwear,RF07,319.75,RELAXO,EQ,330.05,326.75,329.4,315.2,319.15,324.11,110156,357.03,7716, 50865, 46.18,ADX Indicator value,35.77,change %,-3.12,,,adx.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,SELL,Buy: 0 | Hold: 0 | Sell: 2 | Potential: 10.4%,,,,,Relaxo Footwears,RF07,319.15,RELAXO,EQ,330.05,326.75,329.4,315.2,319.15,324.11,110156,357.03,7716, 50865, 46.18,,,,,,,analysts_choice.csv,MC_Mapping,100,0.0%
08-Jun-2026,Bearish,Bearish Trend,Stochastic %K crossed below %D line — Bearish crossover,change %: -3.12 | Low Price value: 315.20 | change absolute: -10.30,Swing Breakdown,OHLC_D_I_10DSTOCHBEAR,Breakout Scan,,RF07,319.75,RELAXO,EQ,330.05,326.75,329.4,315.2,319.15,324.11,110156,357.03,7716, 50865, 46.18,change %,-3.12,Low Price value,315.20,change absolute,-10.30,bearish_breakout.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,Bearish Trend,Price crossed below Moving Average — Bearish signal,Change Percent: -3.12 | 100-DMA Indicator value: 324.27,100 DMA Breakdown,OHLC_D_I_100DMABEAR,Moving Average Scan,Relaxo Footwear,RF07,319.75,RELAXO,EQ,330.05,326.75,329.4,315.2,319.15,324.11,110156,357.03,7716, 50865, 46.18,Change Percent,-3.12,100-DMA Indicator value,324.27,,,moving_average_bearish.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,SELL,By: Motilal Oswal | Sell Relaxo Footwears; target of Rs 330: Motilal Oswal | Reco @ ₹393.15 | Target: ₹330 | Upside: 3.3% | Current Return: -18.8%,,,,,Relaxo Footwears,RF07,319.15,RELAXO,EQ,330.05,326.75,329.4,315.2,319.15,324.11,110156,357.03,7716, 50865, 46.18,,,,,,,stock_ideas.csv,MC_Mapping,100,0.0%
08-Jun-2026,Bearish,SELL,By: Motilal Oswal | Sell Relaxo Footwears; target of Rs 410: Motilal Oswal | Reco @ ₹482.95 | Target: ₹410 | Upside: 28.4% | Current Return: -33.9%,,,,,Relaxo Footwears,RF07,319.15,RELAXO,EQ,330.05,326.75,329.4,315.2,319.15,324.11,110156,357.03,7716, 50865, 46.18,,,,,,,stock_ideas.csv,MC_Mapping,100,0.0%
