Date,Trend,ScannerName,ScannerCode,Category,MC_nsCode,MC_StkId,MC_StkName,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,IndicatorFile,MatchType
08-Apr-2026,Bearish,,,,,,Indian Railway,98.91,IRFC,EQ,92.93,97.8,99.35,96.29,98.91,97.84,22586509,22099.32,87757, 7009552, 31.03,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Hyundai Motor,1778.9,HYUNDAI,EQ,1706.1,1762.0,1798.0,1743.3,1778.9,1773.78,1300847,23074.21,61626, 557445, 42.85,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,BPCL,298.1,BPCL,EQ,277.45,293.5,301.5,292.15,298.1,297.19,26646510,79190.08,193311, 11544759, 43.33,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Varun Beverages,421.9,VBL,EQ,400.85,412.9,424.0,411.05,421.9,418.93,6926186,29016.22,73650, 3342783, 48.26,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,IOC,143.35,IOC,EQ,134.44,143.0,144.3,141.1,143.35,142.76,45807508,65394.2,181116, 17462332, 38.12,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Hindustan Aeron,3907.5,HAL,EQ,3796.2,3900.0,3917.0,3850.0,3907.5,3888.94,1344611,52291.09,89354, 650274, 48.36,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Bajaj Holdings,9970.0,BAJAJHLDNG,EQ,9237.0,9500.0,10100.5,9450.0,9970.0,9880.09,101490,10027.3,21207, 48373, 47.66,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,United Spirits,1248.8,UNITDSPR,EQ,1238.1,1269.0,1270.5,1246.3,1248.8,1255.11,713361,8953.44,68769, 453080, 63.51,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Godrej Consumer,1075.15,GODREJCP,EQ,1029.15,1065.6,1093.8,1065.6,1075.15,1078.23,3314700,35740.0,129165, 2118651, 63.92,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,DLF,572.85,DLF,EQ,534.1,555.0,574.85,555.0,572.85,567.14,14722143,83495.79,213156, 8305872, 56.42,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Chola Invest.,1554.3,CHOLAFIN,EQ,1415.0,1503.0,1558.9,1503.0,1554.3,1540.99,4054814,62484.41,139099, 2208148, 54.46,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Britannia,5594.5,BRITANNIA,EQ,5542.0,5698.5,5698.5,5556.0,5594.5,5614.97,482250,27078.18,49614, 270262, 56.04,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Divis Labs,5882.0,DIVISLAB,EQ,5850.0,5920.0,5984.5,5870.0,5882.0,5915.2,302280,17880.46,31142, 163295, 54.02,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Siemens Energy,2701.7,ENRIN,EQ,2629.0,2690.0,2719.0,2656.7,2701.7,2695.26,438157,11809.47,46472, 232714, 53.11,bearish.csv,PriceFallback(±0.00)
