Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY MIDCAP100,IIFLW54277,360 ONE WAM,Stock,Very Bullish,"1,113.70",0.00,"17 Jul, 2026","1,113.70",Jul 17 | 15:50
NIFTY MIDCAP100,BL03,Biocon,Stock,Very Bullish,437.20,-0.02,"14 Jul, 2026",437.30,Jul 17 | 15:58
NIFTY MIDCAP100,PEL07,Premier Energie,Stock,Very Bullish,"1,086.20",-0.28,"09 Jul, 2026","1,089.20",Jul 17 | 15:58
NIFTY MIDCAP100,OI13,Oil India,Stock,Bullish,435.35,-0.42,"15 Jul, 2026",437.20,Jul 17 | 15:58
NIFTY MIDCAP100,V,Voltas,Stock,Very Bullish,"1,342.40",-0.53,"13 Jul, 2026","1,349.50",Jul 17 | 15:59
NIFTY MIDCAP100,CCI,Container Corp,Stock,Very Bullish,486.90,-1.27,"14 Jul, 2026",493.15,Jul 17 | 15:56
NIFTY MIDCAP100,SI10,UPL,Stock,Bullish,616.60,-1.48,"16 Jul, 2026",625.85,Jul 17 | 15:59
NIFTY MIDCAP100,BS,Blue Star,Stock,Bullish,"1,686.90",-1.70,"13 Jul, 2026","1,716.10",Jul 17 | 15:54
NIFTY NEXT 50,MD04,Lodha Developer,Stock,Very Bullish,"1,188.75",29.09,"15 Jun, 2026",920.85,Jul 17 | 15:59
NIFTY NEXT 50,CHC,Zydus Life,Stock,Very Bullish,"1,143.70",21.83,"06 May, 2026",938.80,Jul 17 | 15:58
NIFTY NEXT 50,CIF01,Chola Invest.,Stock,Very Bullish,"1,804.90",15.10,"12 Jun, 2026","1,568.10",Jul 17 | 15:53
NIFTY NEXT 50,AT18,Adani Trans,Stock,Very Bullish,"1,722.60",13.22,"01 Jul, 2026","1,521.40",Jul 17 | 15:59
NIFTY NEXT 50,TP06,Torrent Pharma,Stock,Bullish,"4,763.00",12.87,"27 Apr, 2026","4,219.80",Jul 17 | 15:57
NIFTY NEXT 50,IHC,Indian Hotels,Stock,Bullish,727.90,10.01,"02 Jun, 2026",661.65,Jul 17 | 15:58
NIFTY NEXT 50,D04,DLF,Stock,Very Bullish,667.80,8.68,"15 Jun, 2026",614.45,Jul 17 | 15:59
NIFTY NEXT 50,DL03,Divis Labs,Stock,Very Bullish,"7,247.50",7.26,"03 Jul, 2026","6,757.00",Jul 17 | 15:58
NIFTY NEXT 50,SC12,Shree Cements,Stock,Very Bullish,"26,515.00",6.19,"17 Jun, 2026","24,970.00",Jul 17 | 15:53
NIFTY NEXT 50,ABB,ABB India,Stock,Very Bullish,"7,506.00",4.18,"15 Jul, 2026","7,204.50",Jul 17 | 15:57
NIFTY NEXT 50,TVS,TVS Motor,Stock,Very Bullish,"3,618.20",3.71,"22 Jun, 2026","3,488.70",Jul 17 | 16:00
NIFTY NEXT 50,GCP,Godrej Consumer,Stock,Very Bullish,"1,071.90",2.71,"01 Jul, 2026","1,043.60",Jul 17 | 15:59
NIFTY NEXT 50,SE20,Solar Ind,Stock,Very Bullish,"18,467.00",1.27,"10 Jul, 2026","18,236.00",Jul 17 | 15:57
NIFTY NEXT 50,BPC,BPCL,Stock,Very Bullish,315.55,1.14,"16 Jul, 2026",312.00,Jul 17 | 15:59
NIFTY NEXT 50,LI09,LTM,Stock,Very Bullish,"4,075.60",0.95,"10 Jul, 2026","4,037.20",Jul 17 | 15:59
NIFTY NEXT 50,HAL,Hindustan Aeron,Stock,Very Bullish,"4,500.70",0.90,"17 Jun, 2026","4,460.50",Jul 17 | 16:00
NIFTY NEXT 50,BI,Britannia,Stock,Bullish,"5,412.50",0.72,"02 Jul, 2026","5,374.00",Jul 17 | 15:59
NIFTY NEXT 50,GAC,Ambuja Cements,Stock,Bullish,438.50,0.47,"10 Jul, 2026",436.45,Jul 17 | 15:58
NIFTY NEXT 50,HMI01,Hyundai Motor,Stock,Very Bullish,"1,993.30",0.42,"10 Jul, 2026","1,984.90",Jul 17 | 15:53
NIFTY NEXT 50,S,Siemens,Stock,Very Bullish,"3,658.80",0.03,"16 Jul, 2026","3,657.60",Jul 17 | 15:59
NIFTY NEXT 50,MSS01,MOTHERSON,Stock,Bullish,144.17,0.00,"17 Jul, 2026",144.17,Jul 17 | 15:59
NIFTY 500,HFC,HFCL,Stock,Bullish,213.17,194.15,"01 Apr, 2026",72.47,Jul 17 | 15:59
NIFTY 500,THC,Cemindia Proj,Stock,Very Bullish,"1,615.00",166.92,"08 Apr, 2026",605.05,Jul 17 | 15:56
NIFTY 500,AIL10,Aditya Infotech,Stock,Bullish,"3,614.40",129.38,"25 Feb, 2026","1,575.70",Jul 17 | 15:59
NIFTY 500,AO05,Acutaas Chem,Stock,Very Bullish,"3,619.40",109.46,"27 Jan, 2026","1,728.00",Jul 17 | 15:52
NIFTY 500,AC02,Aegis Logistics,Stock,Very Bullish,"1,349.10",90.03,"20 May, 2026",709.95,Jul 17 | 15:59
NIFTY 500,WGS,Welspun Corp,Stock,Very Bullish,"1,581.50",89.28,"25 Mar, 2026",835.55,Jul 17 | 15:59
NIFTY 500,AEL10,Ather Energy,Stock,Very Bullish,"1,282.20",82.65,"11 Mar, 2026",702.00,Jul 17 | 15:56
NIFTY 500,EPP01,Emmvee Photovol,Stock,Bullish,345.05,64.09,"16 Mar, 2026",210.28,Jul 17 | 16:00
NIFTY 500,HCL07,Honasa Consumer,Stock,Very Bullish,466.95,61.97,"24 Mar, 2026",288.30,Jul 17 | 15:55
NIFTY 500,KOE03,Kirloskar Oil,Stock,Bullish,"2,255.70",59.26,"06 Apr, 2026","1,416.40",Jul 17 | 15:59
NIFTY 500,HCI01,Himadri Special,Stock,Very Bullish,741.55,58.10,"08 Apr, 2026",469.05,Jul 17 | 16:00
NIFTY 500,JKB,JK Bank,Stock,Very Bullish,182.69,56.35,"07 Apr, 2026",116.85,Jul 17 | 16:00
NIFTY 500,CPL,Caplin Labs,Stock,Very Bullish,"2,614.20",53.02,"10 Apr, 2026","1,708.40",Jul 17 | 15:58
NIFTY 500,DFP,Deepak Fert,Stock,Very Bullish,"1,594.00",51.91,"08 Apr, 2026","1,049.30",Jul 17 | 15:52
NIFTY 500,GI22,Granules India,Stock,Very Bullish,880.80,50.01,"18 Mar, 2026",587.15,Jul 17 | 15:54
NIFTY 500,NWML,Nuvama Wealth,Stock,Very Bullish,"1,863.10",45.44,"08 Apr, 2026","1,281.00",Jul 17 | 15:50
NIFTY 500,W05,Wockhardt,Stock,Bullish,"1,900.70",40.81,"08 Apr, 2026","1,349.80",Jul 17 | 15:59
NIFTY 500,NL,Neuland Lab,Stock,Bullish,"18,434.00",39.42,"06 Apr, 2026","13,222.00",Jul 17 | 15:58
NIFTY 500,SBP04,Sona BLW,Stock,Very Bullish,704.85,38.37,"06 Apr, 2026",509.40,Jul 17 | 15:59
NIFTY 500,GP14,Gland,Stock,Very Bullish,"2,449.00",37.93,"27 Apr, 2026","1,775.50",Jul 17 | 15:56
NIFTY 500,CNA,Zydus Wellness,Stock,Very Bullish,586.45,37.76,"16 Mar, 2026",425.70,Jul 17 | 15:46
NIFTY 500,DSL01,Capri Global,Stock,Very Bullish,256.38,34.48,"22 May, 2026",190.65,Jul 17 | 16:00
NIFTY 500,ASH02,ACME Solar,Stock,Very Bullish,385.25,32.75,"22 May, 2026",290.20,Jul 17 | 15:59
NIFTY 500,ES07,eClerx Services,Stock,Bullish,"1,979.80",32.14,"06 Jul, 2026","1,498.30",Jul 17 | 16:00
NIFTY 500,RNL,Nippon,Stock,Bullish,"1,186.50",31.37,"08 Apr, 2026",903.20,Jul 17 | 15:51
NIFTY 500,GCI,Saregama India,Stock,Very Bullish,494.85,28.68,"14 May, 2026",384.55,Jul 17 | 15:53
NIFTY 500,IKS,Inventurus Know,Stock,Very Bullish,"1,897.10",28.42,"09 Apr, 2026","1,477.30",Jul 17 | 15:55
NIFTY 500,CIS01,C E Info,Stock,Bullish,"1,173.05",28.29,"02 Jul, 2026",914.35,Jul 17 | 16:00
NIFTY 500,SLS02,Sai Life Sci,Stock,Very Bullish,"1,272.00",26.44,"22 Apr, 2026","1,006.00",Jul 17 | 15:58
NIFTY 500,PL10,Physicswallah,Stock,Bullish,136.05,25.37,"15 Jun, 2026",108.52,Jul 17 | 16:00
NIFTY 500,BCM,Balrampur Chini,Stock,Very Bullish,604.45,24.54,"15 Apr, 2026",485.35,Jul 17 | 16:00
NIFTY 500,AVTL,Aegis Vopak,Stock,Bullish,271.24,24.51,"12 Jun, 2026",217.85,Jul 17 | 15:52
NIFTY 500,JIL05,JSW Infra,Stock,Very Bullish,342.15,23.23,"25 May, 2026",277.65,Jul 17 | 15:59
NIFTY 500,BJH,Blue Jet Health,Stock,Very Bullish,584.55,22.91,"04 Jun, 2026",475.60,Jul 17 | 15:56
NIFTY 500,ADH,Aster DM Health,Stock,Very Bullish,819.90,22.74,"27 Mar, 2026",668.00,Jul 17 | 15:53
NIFTY 500,PRC,Navin Fluorine,Stock,Bullish,"7,579.00",21.80,"15 Apr, 2026","6,222.50",Jul 17 | 15:56
NIFTY 500,RCM03,Rainbow Childre,Stock,Very Bullish,"1,493.40",21.68,"07 Apr, 2026","1,227.30",Jul 17 | 16:00
NIFTY 500,GS,Godrej Ind,Stock,Very Bullish,"1,334.70",20.11,"18 Jun, 2026","1,111.20",Jul 17 | 15:56
NIFTY 500,IL,Ipca Labs,Stock,Very Bullish,"1,900.60",19.85,"19 Jun, 2026","1,585.80",Jul 17 | 15:59
NIFTY 500,FBF,Five-Star Busin,Stock,Very Bullish,557.75,19.48,"15 Jun, 2026",466.80,Jul 17 | 15:52
NIFTY 500,PE06,PG Electroplast,Stock,Very Bullish,617.65,17.10,"16 Jun, 2026",527.45,Jul 17 | 15:58
NIFTY 500,CUB,City Union Bank,Stock,Very Bullish,224.63,16.81,"09 Jun, 2026",192.30,Jul 17 | 16:00
NIFTY 500,GI02,Gabriel India,Stock,Very Bullish,"1,336.60",16.60,"15 Jun, 2026","1,146.30",Jul 17 | 15:58
NIFTY 500,ARW,Anand Rathi,Stock,Very Bullish,"2,072.70",15.98,"17 Jun, 2026","1,787.10",Jul 17 | 15:57
NIFTY 500,NH,Narayana Hruda,Stock,Very Bullish,"2,029.50",15.65,"10 Apr, 2026","1,754.90",Jul 17 | 16:00
NIFTY 500,IDB,IDBI Bank,Stock,Very Bullish,87.02,15.43,"12 Jun, 2026",75.39,Jul 17 | 16:00
NIFTY 500,CFS01,Choice Internat,Stock,Very Bullish,808.80,15.17,"15 Jun, 2026",702.25,Jul 17 | 15:57
NIFTY 500,SBL04,Leela Palaces,Stock,Very Bullish,485.65,12.99,"12 Jun, 2026",429.80,Jul 17 | 15:52
NIFTY 500,SP09,Jindal Saw,Stock,Very Bullish,269.45,12.98,"12 Jun, 2026",238.50,Jul 17 | 16:00
NIFTY 500,AVH,APTUS VALUE,Stock,Very Bullish,306.85,12.94,"12 Jun, 2026",271.70,Jul 17 | 15:55
NIFTY 500,GUJAR54281,Gujarat Fluoro,Stock,Very Bullish,"4,144.90",12.62,"11 Jun, 2026","3,680.50",Jul 17 | 15:59
NIFTY 500,CDS,CDSL,Stock,Very Bullish,"1,418.20",12.05,"15 Jun, 2026","1,265.70",Jul 17 | 16:00
NIFTY 500,KC06,Kajaria Ceramic,Stock,Very Bullish,"1,239.50",12.05,"15 Jun, 2026","1,106.20",Jul 17 | 15:55
NIFTY 500,HFF,Home First,Stock,Very Bullish,"1,241.80",11.94,"12 Jun, 2026","1,109.30",Jul 17 | 15:52
NIFTY 500,ML07,Poonawalla Fin,Stock,Very Bullish,477.30,11.86,"19 Jun, 2026",426.70,Jul 17 | 15:55
NIFTY 500,TH,Honeywell Autom,Stock,Very Bullish,"38,955.00",11.41,"21 May, 2026","34,965.00",Jul 17 | 15:51
NIFTY 500,AP22,Ajanta Pharma,Stock,Very Bullish,"3,419.40",11.20,"10 Jun, 2026","3,074.90",Jul 17 | 15:53
NIFTY 500,JCA,Jyoti CNC Auto,Stock,Bullish,781.50,10.55,"17 Jun, 2026",706.90,Jul 17 | 15:56
