SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ADANIPOWER, EQ, 02-Jul-2026, 226.86, 226.87, 228.45, 223.50, 224.55, 224.55, 225.64, 20862324, 47074.27, 89583, 6397856, 30.67
ADDICTIVE, SM, 02-Jul-2026, 40.75, 42.65, 42.75, 42.00, 42.75, 42.75, 42.73, 71500, 30.55, 52, 64000, 89.51
ADFFOODS, EQ, 02-Jul-2026, 307.85, 315.30, 346.95, 311.55, 317.45, 317.10, 332.94, 15187964, 50567.42, 175576, 1026158, 6.76
ADISOFT, SM, 02-Jul-2026, 183.00, 183.00, 201.65, 183.00, 197.00, 196.45, 194.18, 137600, 267.19, 165, 89600, 65.12
ADL, EQ, 02-Jul-2026, 72.91, 69.10, 72.86, 69.10, 70.25, 70.32, 70.02, 249, 0.17, 27, 102, 40.96
ADOR, EQ, 02-Jul-2026, 1248.40, 1259.60, 1298.00, 1235.00, 1285.00, 1286.10, 1279.04, 24888, 318.33, 2690, 13061, 52.48
ADROITINFO, EQ, 02-Jul-2026, 9.02, 9.23, 9.25, 8.99, 9.01, 9.01, 9.06, 40390, 3.66, 106, 29827, 73.85
ADSL, EQ, 02-Jul-2026, 125.59, 125.59, 128.00, 125.17, 126.54, 126.16, 126.23, 123969, 156.49, 2270, 48340, 38.99
ADVAIT, EQ, 02-Jul-2026, 2305.20, 2328.70, 2340.30, 2253.60, 2260.00, 2262.50, 2277.43, 27120, 617.64, 4411, 14115, 52.05
ADVANCE, EQ, 02-Jul-2026, 106.83, 107.74, 117.00, 107.00, 114.90, 114.81, 113.61, 826722, 939.21, 10265, 341652, 41.33
ADVANIHOTR, EQ, 02-Jul-2026, 53.55, 54.00, 54.40, 53.60, 54.39, 54.27, 54.07, 27565, 14.90, 526, 20318, 73.71
ADVENTHTL, EQ, 02-Jul-2026, 138.14, 138.65, 142.50, 138.65, 142.50, 142.18, 140.87, 87514, 123.28, 1848, 57463, 65.66
