scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass,min_target_price,max_target_price,avg_target_price,total_target_price,brokers
K04,3,2,1,0,R R Kabel,R R Kabel,2476.70,4.20,0.17,20.1,cables/rrkabel/K04,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 2476.7, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 2596, 'percentages': 4.8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2975.3, 'percentages': 20.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 3400, 'percentages': 37.2, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 37.27, 'minRangePer': 12.9, 'maxRanegPer': 54.01, 'rangeDiffPer': 41.11, 'mindiff_total': 4.81, 'maxdiff_total': 20.13}",#52B974,,,,,
ET04,3,2,0,1,Endurance Technologies,Endurance Techn,2669.60,-24.10,-0.89,6.8,auto-23-wheelers/endurancetechnologies/ET01,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 2386, 'percentages': -10.6, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 2669.6, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2852, 'percentages': 6.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 3350, 'percentages': 25.4, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 40.4, 'minRangePer': 29.4, 'maxRanegPer': 48.34, 'rangeDiffPer': 18.94, 'mindiff_total': 11.88, 'maxdiff_total': 19.53}",#52B974,,,,,
KC13,3,0,2,1,KNR Constructions,KNR Construct,121.77,1.73,1.44,17.4,constructioncontracting-civil/knrconstructions/KC13,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 121.77, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 126, 'percentages': 3.4, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 143, 'percentages': 17.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 163, 'percentages': 33.8, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 33.85, 'minRangePer': 10.25, 'maxRanegPer': 51.49, 'rangeDiffPer': 41.24, 'mindiff_total': 3.47, 'maxdiff_total': 17.43}",#52B974,,,,,
SPL02,3,3,0,0,Somany Ceramics,Somany Ceramics,596.30,1.55,0.26,1.4,ceramicsgranite/somanyceramics/SC49,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 575, 'percentages': -3.5, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 596.3, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 604.6, 'percentages': 1.3, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 635, 'percentages': 6.4, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 10.43, 'minRangePer': 35.47, 'maxRanegPer': 49.28, 'rangeDiffPer': 13.81, 'mindiff_total': 3.7, 'maxdiff_total': 5.14}",#52B974,,,,,
IP07,3,3,0,0,Indigo Paints,Indigo Paints,1140.00,-2.00,-0.18,16.4,paints/indigopaints/IP08,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1140, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1234, 'percentages': 8.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1328, 'percentages': 16.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1450, 'percentages': 27.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 27.19, 'minRangePer': 30.3, 'maxRanegPer': 60.64, 'rangeDiffPer': 30.34, 'mindiff_total': 8.24, 'maxdiff_total': 16.49}",#52B974,,,,,
IL,3,3,0,0,Ipca Laboratories,Ipca Labs,1962.60,-29.80,-1.50,2.0,pharmaceuticals/ipcalaboratories/IL,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1950, 'percentages': -0.6, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1962.6, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 2003.3, 'percentages': 2, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2060, 'percentages': 4.9, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 5.64, 'minRangePer': 11.34, 'maxRanegPer': 48.4, 'rangeDiffPer': 37.06, 'mindiff_total': 0.64, 'maxdiff_total': 2.73}",#52B974,,,,,
OI13,3,2,1,0,Oil India,Oil India,470.00,3.00,0.64,13.1,oil-drillingexploration/oilindia/OI13,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 470, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 485, 'percentages': 3.1, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 532, 'percentages': 13.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 600, 'percentages': 27.6, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 27.65, 'minRangePer': 11.53, 'maxRanegPer': 47.7, 'rangeDiffPer': 36.17, 'mindiff_total': 3.19, 'maxdiff_total': 13.19}",#52B974,,,,,
AL16,3,2,1,0,Alkem Laboratories,Alkem Lab,5417.50,86.00,1.61,13.6,pharmaceuticals/alkemlaboratories/AL05,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 5417.5, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 5770, 'percentages': 6.5, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 6156.6, 'percentages': 13.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 6850, 'percentages': 26.4, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 26.44, 'minRangePer': 24.58, 'maxRanegPer': 51.58, 'rangeDiffPer': 27, 'mindiff_total': 6.5, 'maxdiff_total': 13.64}",#52B974,,,,,
VI16,3,3,0,0,V-Guard Industries,V-Guard Ind,316.40,-4.10,-1.28,31.0,electric-equipment/v-guardindustries/VI02,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 316.4, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 385, 'percentages': 21.6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 414.6, 'percentages': 31, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 455, 'percentages': 43.8, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 43.8, 'minRangePer': 49.49, 'maxRanegPer': 70.84, 'rangeDiffPer': 21.35, 'mindiff_total': 21.68, 'maxdiff_total': 31.03}",#52B974,,,,,
FI,3,3,0,0,Finolex Industries,Finolex Ind,154.16,1.22,0.80,40.7,petrochemicals/finolexindustries/FI,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 154.16, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 197, 'percentages': 27.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 217, 'percentages': 40.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 240, 'percentages': 55.6, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 55.68, 'minRangePer': 49.89, 'maxRanegPer': 73.2, 'rangeDiffPer': 23.31, 'mindiff_total': 27.78, 'maxdiff_total': 40.76}",#52B974,,,,,
