Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekLow,KLL,KLL,Kaushalya Logis,/logistics/kaushalyalogistics/KLL,22.1,"13 Aug, 2026|15:59"
52WeekLow,KPIGL54232,KPIGL54232,KPIGREEN,/engineering-industrial-equipments/kpigreenenergy/KPIGL54232,337.0,"13 Aug, 2026|15:59"
52WeekLow,PSW01,MNR,Marathon Realty,/construction-contracting-real-estate/marathonnextgenrealty/MNR,372.1,"13 Aug, 2026|15:50"
52WeekLow,NII04,NII04,Naman Ind,/wood-wood-products/namanindustriesproxima/NII04,40.5,"13 Aug, 2026|15:31"
52WeekLow,NLAGIL,NLAGIL,Neelam Linens,/textiles-apparel/neelamlinensgarmentsindia/NLAGIL,7.8,"13 Aug, 2026|15:58"
52WeekLow,CI27,CI27,ORCHASP,/computers-software-medium-small/orchasp/CI27,1.5,"13 Aug, 2026|15:58"
52WeekLow,OP04,OP04,Oriana Power,/engineering-construction/orianapower/OP04,1398.95,"13 Aug, 2026|15:56"
52WeekLow,OHR,OHR,Osia Hyper Reta,/retailing/osiahyperretail/OHR,2.57,"13 Aug, 2026|15:54"
52WeekLow,OMM01,OMM,Owais Metal,/metals-mining/owaismetalmineralprocessing/OMM,86.9,"13 Aug, 2026|15:31"
52WeekLow,PGI,PGH,P&G Hygiene,/household-personal-products/proctergamblehygienehealthcare/PGH,8450.0,"13 Aug, 2026|15:57"
52WeekLow,PD05,PD05,Parsvnath,/construction-contracting-real-estate/parsvnathdevelopers/PD05,1.53,"13 Aug, 2026|15:54"
52WeekLow,PDE,PDE,Phantom Digital,/tv-broadcasting-software-production/phantomdigitaleffects/PDE,140.45,"13 Aug, 2026|15:50"
52WeekLow,PRL01,PRL01,Premier Road,/logistics/premierroadlines/PRL01,43.8,"13 Aug, 2026|15:50"
52WeekLow,QT,QT,Quicktouch Tech,/software/quicktouchtechnologies/QT,20.95,"13 Aug, 2026|15:50"
52WeekLow,RHF02,RHF01,Reliance Home F,/finance-housing/reliancehomefinance/RHF01,1.8,"13 Aug, 2026|15:50"
52WeekLow,SAO,SAO,Sanwaria Consum,/personal-care/sanwariaconsumer/SAO,0.2,"13 Aug, 2026|15:56"
52WeekLow,SFML01,SFML01,SBI Funds Mgt,/finance-investment/sbifundsmanagement/SFML01,568.8,"13 Aug, 2026|16:00"
52WeekLow,SAP06,SAP06,Shree Ajit Pulp,/paper/shreeajitpulppaper/SAP06,282.2,"13 Aug, 2026|15:50"
52WeekLow,S23,S25,Shrenik,/trading/shrenik/S25,0.33,"13 Aug, 2026|15:57"
52WeekLow,SIL18,SIL20,Sonu Infratech,/construction-residential-commercial-complexes/sonuinfratech/SIL20,37.55,"13 Aug, 2026|15:52"
52WeekLow,SI45,SI45,Sumeet Ind,/textiles-manmade/sumeetindustries/SI45,14.74,"13 Aug, 2026|15:59"
52WeekLow,SMP01,SMP02,Sundaram Multi,/printing-stationery/sundarammultipap/SMP02,1.2,"13 Aug, 2026|15:55"
52WeekLow,SH07,SH07,Supreme Holding,/construction-real-estate/supremeholdingshospitality/SH07,44.18,"13 Aug, 2026|15:54"
52WeekLow,SSM09,SSM09,Suryalata Spg,/textiles-spinning-synthetic-blended/suryalataspinningmills/SSM09,393.0,"13 Aug, 2026|15:51"
52WeekLow,TCL01,TCL01,TARACHAND,/ground-freight-logistics-services/tarachandinfralogisticsolutions/TCL01,48.0,"13 Aug, 2026|15:53"
52WeekLow,ATE02,ATE02,TCC CONCEPT,/trading/tccconcept/ATE02,252.95,"13 Aug, 2026|15:56"
52WeekLow,TST01,TST01,Transteel,/household-personal-products/transteelseatingtechnologies/TST01,101.75,"13 Aug, 2026|15:31"
52WeekHigh,AI,AI45,Aarti Ind,/chemicals/aartiindustries/AI45,536.0,"13 Aug, 2026|15:59"
52WeekHigh,ASL09,ASL08,Aarti Surfactan,/diversified-chemicals/aartisurfactants/ASL08,615.0,"13 Aug, 2026|15:56"
52WeekHigh,ABM,ABM02,ABM Inter,/miscellaneous/abminternational/ABM02,69.37,"13 Aug, 2026|15:58"
52WeekHigh,AML06,AML06,Accent Micro,/pharmaceuticals-drugs/accentmicrocell/AML06,560.45,"13 Aug, 2026|15:51"
52WeekHigh,AIL10,AIL10,Aditya Infotech,/diversified/adityainfotech/AIL10,4094.0,"13 Aug, 2026|15:59"
52WeekHigh,AP22,AP22,Ajanta Pharma,/pharmaceuticals/ajantapharma/AP22,3544.8,"13 Aug, 2026|15:56"
52WeekHigh,AMLL,AMLL,Amagi Media Lab,/software/amagimedialabs/AMLL,643.85,"13 Aug, 2026|15:55"
52WeekHigh,ARW,ARW,Anand Rathi,/finance-investment/anandrathiwealth/ARW,2200.0,"13 Aug, 2026|15:57"
52WeekHigh,AWEL,AWEL,Anawil Wire,/infrastructure/anawilwireengineering/AWEL,376.0,"13 Aug, 2026|15:54"
52WeekHigh,ALF,AFS04,Arman Financial,/finance-leasing-hire-purchase/armanfinancialservices/AFS04,2073.0,"13 Aug, 2026|15:57"
52WeekHigh,ACP,ACP,Arrow Greentech,/plastics/arrowgreentech/ACP,800.0,"13 Aug, 2026|15:52"
