Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
ALL NSE,CE10,CL Educate,Stock,Bearish,38.62,-20.65,"24 Apr, 2026",48.67,May 07 | 15:54
ALL NSE,WL02,Womancart,Stock,Very Bearish,120.60,-19.79,"29 Apr, 2026",150.35,May 07 | 15:48
ALL NSE,CSL01,CSL Fin,Stock,Bearish,237.02,-19.48,"08 Jan, 2026",294.35,May 07 | 15:47
ALL NSE,U01,A G Universal,Stock,Very Bearish,58.85,-19.27,"09 Mar, 2026",72.90,May 07 | 15:40
ALL NSE,JP11,Jindal Photo,Stock,Bearish,"1,127.20",-19.25,"17 Feb, 2026","1,395.90",May 07 | 15:57
ALL NSE,GJL01,Grover Jewells,Stock,Very Bearish,155.00,-19.10,"01 Apr, 2026",191.60,May 07 | 15:31
ALL NSE,IRS01,INFOLLION,Stock,Very Bearish,215.40,-18.76,"16 Apr, 2026",265.15,May 07 | 15:40
ALL NSE,SS48,Cura Tech,Stock,Very Bearish,88.17,-18.61,"10 Apr, 2026",108.33,May 07 | 15:50
ALL NSE,TS09,Take Solutions,Stock,Bearish,34.79,-18.51,"30 Apr, 2026",42.69,May 07 | 15:58
ALL NSE,MPEL,Manas Polymers,Stock,Very Bearish,45.60,-18.28,"25 Mar, 2026",55.80,May 07 | 15:31
ALL NSE,SS57,Sahana Systems,Stock,Very Bearish,814.95,-18.08,"13 Mar, 2026",994.85,May 07 | 15:31
ALL NSE,BTM04,Bodhi Tree Mult,Stock,Very Bearish,6.33,-17.79,"16 Feb, 2026",7.70,May 07 | 15:59
ALL NSE,SAAIL,Sameera Agro,Stock,Very Bearish,8.10,-17.77,"20 Apr, 2026",9.85,May 07 | 15:47
ALL NSE,IIL03,AvenuesAI,Stock,Very Bearish,14.10,-16.12,"26 Feb, 2026",16.81,May 07 | 15:59
