Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekHigh,SAL09,SAL08,Simca Advertisi,/misc-commercial-services/simcaadvertising/SAL08,216.0,"27 Jul, 2026|15:40"
52WeekHigh,E09,E11,SJS Enterprises,/auto-ancillaries-others/sjsenterprises/E11,2371.6,"27 Jul, 2026|15:58"
52WeekHigh,SI91,SI97,Sportking India,/textiles-spinning-synthetic-blended/sportkingindia/SI97,215.4,"27 Jul, 2026|15:48"
52WeekHigh,SSW01,SSW02,Steel Str Wheel,/auto-ancillaries/steelstripswheels/SSW02,291.8,"27 Jul, 2026|15:58"
52WeekHigh,SPI,SPI,Sun Pharma,/pharmaceuticals/sunpharmaceuticalindustries/SPI,1948.5,"27 Jul, 2026|15:58"
52WeekHigh,TEL07,TEL06,Tankup Engineer,/miscellaneous/tankupengineers/TEL06,1199.95,"27 Jul, 2026|15:40"
52WeekHigh,TCP02,TCP03,Tatva Chintan,/speciality-chemicals/tatvachintanpharmachem/TCP03,1750.8,"27 Jul, 2026|15:58"
52WeekHigh,TJ,TJ,Thangamayil,/diamond--jewellery/thangamayiljewellery/TJ,6999.0,"27 Jul, 2026|15:59"
52WeekHigh,TT14,TT16,Thyrocare Techn,/hospitals-medical-services/thyrocaretechnologies/TT16,573.6,"27 Jul, 2026|15:57"
52WeekHigh,TI01,TI01,Titan Company,/miscellaneous/titancompany/TI01,4686.9,"27 Jul, 2026|15:57"
52WeekHigh,TMB,TMB,TMB,/bank-private/tamilnadmercantilebank/TMB,811.0,"27 Jul, 2026|15:59"
52WeekHigh,TFC,TFC,Tourism Finance,/finance-term-lending-institutions/tourismfinancecorpindia/TFC,89.0,"27 Jul, 2026|15:56"
52WeekHigh,TBZ,TBZ,Tribhovandas,/diamond-cutting-jewellery-precious-metals/tribhovandasbhimjizaveri/TBZ,260.39,"27 Jul, 2026|15:59"
52WeekHigh,USF,USF,Ujjivan Small,/bank-private/ujjivansmallfinancebank/USF,71.5,"27 Jul, 2026|15:59"
52WeekHigh,MC08,US,United Spirits,/breweries-distilleries/unitedspirits/US,1477.7,"27 Jul, 2026|15:58"
52WeekHigh,UI18,UI21,Univastu India,/construction-contracting-civil/univastuindia/UI21,125.0,"27 Jul, 2026|15:57"
52WeekHigh,HIGHW10757,HIGHW10757,Vertis Infra,/infrastructure/vertisinfrastructuretrust/HIGHW10757,113.0,"27 Jul, 2026|15:31"
52WeekHigh,VIS01,VIS01,Vinsys IT,/it-services-consulting/vinsysitservicesindia/VIS01,528.0,"27 Jul, 2026|15:31"
52WeekHigh,WIC01,WIC01,Welspun Invest,/finance-investments/welspuninvestmentscommercials/WIC01,1860.0,"27 Jul, 2026|15:31"
52WeekHigh,WCP,WCP,West Coast Pap,/paper/westcoastpapermills/WCP,560.5,"27 Jul, 2026|15:56"
