scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass
PFR,2,1,1,0,Aditya Birla Fashion & Retail,Aditya Birla F,61.04,1.14,1.90,31.0,retail/adityabirlafashionretail/PFR,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 61.04, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 65, 'percentages': 6.4, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 80, 'percentages': 31, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 95, 'percentages': 55.6, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 55.63, 'minRangePer': 11.64, 'maxRanegPer': 55.83, 'rangeDiffPer': 44.19, 'mindiff_total': 6.48, 'maxdiff_total': 31.06}",#52B974
ARB,2,1,1,0,Amara Raja Energy & Mobility,Amara Raja,837.10,13.45,1.63,21.7,auto-ancillaries/amararajaenergymobility/ARB,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 837.1, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 878, 'percentages': 4.8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1019, 'percentages': 21.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1160, 'percentages': 38.5, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 38.57, 'minRangePer': 12.65, 'maxRanegPer': 56.31, 'rangeDiffPer': 43.66, 'mindiff_total': 4.88, 'maxdiff_total': 21.72}",#52B974
ABL06,2,1,1,0,Aditya Birla Lifestyle Brands,ABLBL,100.12,1.78,1.81,29.8,speciality-retailers/adityabirlalifestylebrands/ABL06,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 100.12, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 120, 'percentages': 19.8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 130, 'percentages': 29.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 140, 'percentages': 39.8, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 39.83, 'minRangePer': 49.83, 'maxRanegPer': 74.91, 'rangeDiffPer': 25.08, 'mindiff_total': 19.85, 'maxdiff_total': 29.84}",#52B974
FIC,2,2,0,0,Zensar Technologies,Zensar Tech,450.90,-1.90,-0.42,43.0,computers-software/zensartechnologies/ZT02,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 450.9, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 640, 'percentages': 41.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 645, 'percentages': 43, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 650, 'percentages': 44.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 44.15, 'minRangePer': 94.97, 'maxRanegPer': 97.48, 'rangeDiffPer': 2.51, 'mindiff_total': 41.93, 'maxdiff_total': 43.04}",#52B974
SG16,2,1,1,0,Senco Gold,Senco Gold,350.20,11.85,3.50,24.9,diamondjewellery/sencogold/SG14,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 350.2, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 375, 'percentages': 7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 437.5, 'percentages': 24.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 500, 'percentages': 42.7, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 42.77, 'minRangePer': 16.55, 'maxRanegPer': 58.26, 'rangeDiffPer': 41.7, 'mindiff_total': 7.08, 'maxdiff_total': 24.92}",#52B974
PE06,2,2,0,0,PG Electroplast,PG Electroplast,492.80,9.50,1.97,31.6,consumer-goods-electronic/pgelectroplast/PE06,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 492.8, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 623, 'percentages': 26.4, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 649, 'percentages': 31.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 675, 'percentages': 36.9, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 36.97, 'minRangePer': 71.46, 'maxRanegPer': 85.71, 'rangeDiffPer': 14.25, 'mindiff_total': 26.42, 'maxdiff_total': 31.69}",#52B974
FI,2,2,0,0,Finolex Industries,Finolex Ind,173.00,-0.02,-0.01,29.1,petrochemicals/finolexindustries/FI,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 173, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 207, 'percentages': 19.6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 223.5, 'percentages': 29.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 240, 'percentages': 38.7, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 38.72, 'minRangePer': 50.74, 'maxRanegPer': 75.38, 'rangeDiffPer': 24.63, 'mindiff_total': 19.65, 'maxdiff_total': 29.19}",#52B974
AI40,2,1,1,0,Apar Industries,Apar Ind,15986.00,765.00,5.03,-18.4,electric-equipment/aparindustries/AI40,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 12750, 'percentages': -20.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 13029.5, 'percentages': -18.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 13309, 'percentages': -16.7, 'color': 'green'}, {'id': 'cmp', 'name': 'Current Price', 'value': 15986, 'percentages': '', 'color': 'white'}]","{'background': 'grey', 'position': 'right', 'color': 'red', 'colorFillPercentages': 75, 'greyLeftPercentage': 25, 'greyRightPercentage': 0}","{'totalPercentages': 25.38, 'minRangePer': 8.62, 'maxRanegPer': 17.25, 'rangeDiffPer': 8.63, 'mindiff_total': 2.19, 'maxdiff_total': 4.38}",#E3515C
SS51,2,0,2,0,Shoppers Stop,Shoppers Stop,370.30,-4.35,-1.16,-5.4,retail/shoppersstop/SS51,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 330, 'percentages': -10.8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 350, 'percentages': -5.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 370, 'percentages': 0, 'color': 'green'}, {'id': 'cmp', 'name': 'Current Price', 'value': 370.3, 'percentages': '', 'color': 'white'}]","{'background': 'grey', 'position': 'right', 'color': 'red', 'colorFillPercentages': 75, 'greyLeftPercentage': 25, 'greyRightPercentage': 0}","{'totalPercentages': 12.21, 'minRangePer': 49.63, 'maxRanegPer': 99.26, 'rangeDiffPer': 49.63, 'mindiff_total': 6.06, 'maxdiff_total': 12.12}",#E3515C
PF15,2,0,2,0,PB Fintech,PB Fintech,1581.10,33.30,2.15,17.3,multiline-insurancebrokers/pbfintech/PF14,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1581.1, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1840, 'percentages': 16.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1855, 'percentages': 17.3, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1870, 'percentages': 18.2, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 18.27, 'minRangePer': 89.6, 'maxRanegPer': 94.8, 'rangeDiffPer': 5.2, 'mindiff_total': 16.37, 'maxdiff_total': 17.32}",#52B974
