Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 500,HCL07,Honasa Consumer,Stock,Very Bullish,407.15,41.22,"24 Mar, 2026",288.30,Jun 15 | 15:59
NIFTY 500,NTI03,Netweb,Stock,Very Bullish,"4,612.30",39.29,"08 Apr, 2026","3,311.40",Jun 15 | 15:59
NIFTY 500,TT12,Triveni Turbine,Stock,Bullish,663.15,38.79,"16 Apr, 2026",477.80,Jun 15 | 15:51
NIFTY 500,AC02,Aegis Logistics,Stock,Bullish,984.30,38.64,"20 May, 2026",709.95,Jun 15 | 15:58
NIFTY 500,CPL,Caplin Labs,Stock,Very Bullish,"2,364.60",38.41,"10 Apr, 2026","1,708.40",Jun 15 | 15:49
NIFTY 500,JKB,JK Bank,Stock,Very Bullish,159.91,36.85,"07 Apr, 2026",116.85,Jun 15 | 15:57
NIFTY 500,KOE03,Kirloskar Oil,Stock,Very Bullish,"1,933.80",36.53,"06 Apr, 2026","1,416.40",Jun 15 | 15:57
NIFTY 500,BM05,Bank of Mah,Stock,Very Bullish,89.12,33.93,"07 Apr, 2026",66.54,Jun 15 | 15:59
NIFTY 500,TTL01,Tata Tech,Stock,Very Bullish,771.90,31.57,"16 Apr, 2026",586.70,Jun 15 | 15:58
NIFTY 500,NWML,Nuvama Wealth,Stock,Very Bullish,"1,660.90",29.66,"08 Apr, 2026","1,281.00",Jun 15 | 15:59
NIFTY 500,NL,Neuland Lab,Stock,Very Bullish,"17,056.00",29.00,"06 Apr, 2026","13,222.00",Jun 15 | 15:56
NIFTY 500,BB09,Bandhan Bank,Stock,Very Bullish,210.88,27.08,"09 Apr, 2026",165.94,Jun 15 | 15:59
NIFTY 500,CA07,Craftsman,Stock,Very Bullish,"9,337.00",27.01,"08 Apr, 2026","7,351.50",Jun 15 | 15:59
NIFTY 500,RNL,Nippon,Stock,Very Bullish,"1,140.10",26.23,"08 Apr, 2026",903.20,Jun 15 | 15:58
NIFTY 500,BIL07,Belrise Ind,Stock,Very Bullish,238.26,26.06,"20 Mar, 2026",189.00,Jun 15 | 15:59
NIFTY 500,ZT01,Zen Tech,Stock,Very Bullish,"1,789.10",25.61,"07 Apr, 2026","1,424.30",Jun 15 | 15:59
NIFTY 500,TN,Tejas Networks,Stock,Very Bullish,582.35,24.86,"20 May, 2026",466.40,Jun 15 | 15:59
NIFTY 500,CU,Carborundum,Stock,Very Bullish,"1,065.90",24.81,"02 Apr, 2026",854.00,Jun 15 | 15:58
NIFTY 500,MC22,Minda Corp,Stock,Very Bullish,662.55,23.41,"21 May, 2026",536.85,Jun 15 | 15:55
NIFTY 500,OEM,Ola Electric,Stock,Very Bullish,44.12,22.52,"22 May, 2026",36.01,Jun 15 | 15:59
NIFTY 500,JBM03,JBM Auto,Stock,Very Bullish,683.30,21.78,"01 Apr, 2026",561.10,Jun 15 | 15:57
NIFTY 500,NS16,NMDC Steel,Stock,Bullish,47.85,21.39,"07 Apr, 2026",39.42,Jun 15 | 15:59
NIFTY 500,GCI,Saregama India,Stock,Very Bullish,462.60,20.30,"14 May, 2026",384.55,Jun 15 | 15:59
NIFTY 500,SLS02,Sai Life Sci,Stock,Very Bullish,"1,207.90",20.07,"22 Apr, 2026","1,006.00",Jun 15 | 15:59
NIFTY 500,ASH02,ACME Solar,Stock,Very Bullish,347.25,19.66,"22 May, 2026",290.20,Jun 15 | 15:59
NIFTY 500,MSM,Vardhman Text,Stock,Very Bullish,637.80,18.86,"02 Apr, 2026",536.60,Jun 15 | 15:59
